COURSES,TITLE,AUTHOR,ISBN,2018 - UP EDITION,,COPIES,Sub Total,Warehouse,SG Publisher
,"Transcultural Concepts in Nursing Care, North American Edition",Andrews,9781975110673,2020," ₱9,008.00 ",5,"PHP 45,040.00",SG,Lippincott Williams & Wilkins
,Transcultural Nursing: Assessment and Intervention 8ed,"Giger, Joyce",9780323695541,2021," ₱9,228.00 ",5,"PHP 46,140.00",SG,Elsevier
,4,,,,,5,,,
,5,,,,,5,,,
"Disaster Nursing (2 units lec, 1 unit lab)","Disaster Nursing and Emergency Preparedness for Chemical, Biological, and Radiological Terrorism and Other Hazards",Tener Goodwin Veenema,9789719817475,2019,695,5,"PHP 3,475.00",Philippines,
,Preparing Nurses for Disaster Management: A Global Perspective 1ed,"Langan, Joanne",9780323776769,2023," ₱7,508.00 ",5,"PHP 37,540.00",SG,Elsevier
,Trauma Nursing: From Resuscitation Through Rehabilitation 5ed,"McQuillan, Karen",9780323567855,2020," ₱14,268.00 ",5,"PHP 71,340.00",SG,Saunders
,Managing Emergencies and Crises: Global Perspectives,Kapucu ,9781284232042 ,2023," ₱8,478.00 ",5,"PHP 42,390.00",SG,Jones & Bartlett
,Emergency Nursing Made Incredibly Easy (Incredibly Easy! Series®),Heimgartner,9781975117474,2020," ₱6,438.00 ",5,"PHP 32,190.00",SG,Lippincott Williams & Wilkins
Intensive Nursing Practicum (Hospital & Community settings) (8 clinical lab),,,,,,,,,
,1,,,,,5,,,
,2,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
,,,,,,,"PHP 4,687,465.00",,
Prepared by:                                                                         Reviewed by                                                                         Approved by:,,,,,,,,,
,,,,,,,"PHP 8,959,780.00",,
_____________________                                                    ____________________                                                       _____________________,,,,,,,"64,360",,
Librarian License No. ___                                                                Dean                                                                                       President,,,,,,,,,
