Benedicto College ,,,,,,
Foreign References ,,,,,,
"As of March 16, 2023",,,,,,
,,,,,,
AUTHOR,TITLE,COPYRIGHT ,PUBLISHER,NO. OF COPIES,,
"Thompson, Graham R.",Introduction to Earth Science ,2012,Cengage Learning ,1,,
"Thompson, Graham R.",Earth Science and the Environment ,2014,Cengage Learning ,1,,
"Keeton, William T.","Elements of Biological Science, 3rd ed.",1983,W. W. Norton & Company ,1,,
"Elston, Robert C.","Essentials of Biostatistics, 2nd ed.",1995,F. A. Davis,2,,
"Mathews, Christopher K.","Biochemistry, 3rd ed.",2001,Pearson Education ,2,,
"Devlin, Thomas M. (ed.)","Textbook of Biochemistry with Clinical Correlations, 5th ed.",2002,Wiley-Liss,1,,
"Poirier, Frank E.",Understanding Human Evolution ,1987,Prentice-Hall ,1,,
"Gould, James L.","Biological Science, 6th ed.",1996,W. W. Norton & Company,1,,
"Simon, Eric J.","Campbell Essential Biology, 5th ed.",2013,Pearson Education ,1,,
"Bettelheim, Frederick A.","Introduction to General, Organic, and Biochemistry, 8th ed.",2007,Brooks/Cole,1,,
"Berg, Linda R.",Introduction to Botany,2012,Cengage Learning ,2,,
"Fuller, Harry J.","General Botany, 5th ed.",1967,Barnes & Noble,3,,
"Muller, Walter H.","Botany: A Functional Approach, 4th ed.",1979,Macmillan Publishing ,2,,
"Miller, Stephen A.","Zoology, 5th ed.",2002,McGraw-Hill ,1,,
"Hickman, Cleveland P.","Integrated Principles of Zoology, 9th ed.",1993,Mosby,1,,
"Storer, Tracy I.","General Zoology, 6th ed.",1979,McGraw-Hill ,1,,
,,,,,,
600-699,,,,,,
"Mader, Sylvia S.","Human Biology, 8th ed.",2004,McGraw-Hill ,2,,
"Apps, D.K.","Biochemistry: A Concise Text for Medical Students, 5th ed.",1992,Baillière,1,,
"Urone, Paul Peter",Physics with Health Science Applications,1986,John Wiley & Sons,3,,
"Stigliani, Joan",The Computer User's Survival Guide,1995,O'Reilly,1,,
"Metzl, Jordan D.",The Young Athlete,2002,Little Brown and Company ,1,,
"Giles-Brown, Liz",Physical Education Assessment Toolkit,2006,Human Kinetics ,1,,
"Dunn, John M.",Life During the Black Death,2000,Lucent Books,1,,
"Butcher, James N.","Abnormal Psychology, 12th ed.",2004,Pearson Education ,1,,
"Haykin, Simon","Communication Systems, 4th ed.",2001,John Wiley & Sons,1,,
"Tocci, Ronald J.","Digital Systems: Principles and Applications, 5th ed.",1991,Prentice-Hall ,1,,
"Bhattacharya, A.B.",Electronic Principles and Applications ,2009,New Central Book,1,,
"Boylestad, Robert L.","Electronic Devices and Circuit Theory, 6th ed.",1996,Prentice-Hall ,2,,
"Malvino, Albert Paul","Digital Computer Electronics, 3rd ed.",1993,Glencoe,2,,
"Mano, M. Morris","Digital Design with an Introduction to the Verilog HDL, 5th ed.",2015,Pearson Education ,1,,
"Mano, M. Morris","Introduction to Dgital Design, 4th ed.",2007,Prentice-Hall ,1,,
"Hayes, John P.",Introduction to Logic Design,1993,Addison-Wesley ,1,,
"Katz, Randy H.",Contemporary Logic Design ,1994,Benjamin/Cummings ,2,,
"Webb, John W.","Programmable Logic Controllers: Principles and Applications, 3rd ed.",1995,Prentice-Hall ,3,,
"Hopcroft, John E.","Introduction to Automata Theory, Languages and Computation",1979,Addison-Wesley ,3,,
"Lee-Ross, Darren",Entrepreneurship & Small Business Management in the Hospitality Industry ,2009,Elsevier ,2,,
"Boosselle, Arthur H.",Business Mathematics Today,1990,McGraw-Hall,1,,
"Deep,Sam",Smart Moves,1991,Addison-Wesley ,1,,
"Dias, Laura P.",Introduction To Business ,2009,The McGraw-Hill,1,,
"McKay, Dean H.",The Ultimate Book Of Business & Legal Words You Should Know,2011,F+W Media,1,,
"Stallings, William","Business Data Communications, 4th ed",2001,Prentice Hall,1,,
"Saunders, Mark","Research Methods For Business Students, 5th ed",2009,Pearson Education,1,,
"Sellers, Gene",An Introduction To Business Mathematics ,1987,CBS College,1,,
"Jensen, Cary",Harvard Graphics:The Complete Reference ,1990,McGraw-Hill,1,,
"Arn, Joseph V.",Records Management For An Information Age,1991,Delmar Publisher ,3,,
"Brantley,Clarice P.","Effective Communication For Colleges,10th ed",2007,South-Western,1,,
"Brantley,Clarice P.","Effective Communication For Colleges,10th ed",2007,South-Western,2,,
"Archer,Fred C.","General Office Procedures, 4th ed",1975,McGraw-Hill,3,,
"Kendall, Rob",Work Storming,2016,Watkins,1,,
"Louden, Kenneth C.",Programming Languages,2012,Cengage Learning,2,,
"Murphy, Herta A.","Effective Business Communications, 2nd ed",1990,McGraw-Hill,1,,
"Chiri,Judith A.","Keyboarding And Applications, 2nd ed",1993,Mcmillian/McGraw-Hill,1,,
"Johnson,Jack E.",Gregg Microcomputer Keyboard And Document Processing,1993,Glencoe/McGraw-Hill,1,,
"Anthony,Robert N.","Accounting:Text And Cases, 9th ed",1995,Irwin,3,,
"Fess, Philip E.","Accounting Principles, 2nd ed., V.1",1986,South-Western Publishing ,1,,
"Horngren, Charles T.","Accounting, 3rd ed.",1995,Prentice-Hall ,1,,
"Horngren, Charles T.",Introduction to Financial Accounting ,2014,Pearson Education ,1,,
"Ross, Kenton E.","Fundamentals of Accounting Course 1, 7th ed.",2000,South-Western Publishing ,5,,
"Perry, James T.",Building Accounting Systems Using Access2000,2001,South-Western Publishing ,1,,
"Romney, Marshall B.","Accounting Information Systems, 11th ed.",2011,Pearson Education ,2,,
"Dauderis, Henry",Basic Financial Accounting ,1982,Winston of Canada,1,,
"Spiceland, J. David","Intermediate Accounting, 3rd ed.",2005,McGraw-Hill ,3,,
"Beams, Floyd A.","Advanced Accounting, 7th ed.",2002,Pearson Education ,3,,
"Horngren, Charles T.","Cost Accounting: A Managerial Emphasis, 11th ed.",2003,Pearson Education ,3,,
"Anderson, David R.","Quantitative Methods for Business, 6th ed.",1995,West Publishing ,1,,
,ACCPAC Bedford: Integrated Accounting Version 3.3,1989,Computer Associates ,4,,
"Fuhrman, Peter H.",Computerized Accounting with Bedford ,1991,Prentice-Hall ,3,,
"Purbhoo, D.",Applications Workbook for Bedford Accounting,1988,Addison-Wesley ,1,,
"Whittington, O. Ray","Principles of Auditing & Other Assurance Services, 19th ed.",2014,McGraw-Hill ,1,,
"Watne, Donald A.","Auditing EDP Systems, 2nd ed.",2004,Pearson Education ,1,,
"Daft, Richard L.","New Era of Management: Concepts and Applications, 2nd ed.",2012,Cengage Learning ,2,,
"Dyck, Bruno",Management: Current Practices and New Directions,2013,Cengage Learning ,1,,
"Hill, Charles W.L.",Principles of Management ,2008,McGraw-Hill ,1,,
"Riggs, James L.","Industrial Organization and Management, 6th ed.",1980,McGraw-Hill ,2,,
"McShane, Steven L.",Organizational Behavior 3e,2005,McGraw-Hill ,1,,
"Montana, Patrick J.","Management, 2nd ed.",1996,Barron's Educational ,1,,
"Robbins, Stephen P.","Organizational Behavior, 9th ed.",2001,Prentice-Hall ,2,,
"Davidson,Paul",Management Core Concepts And Skills,2006,John Wiley & Sons Australia,1,,
"Weihrich,Heinz","Management A Global And Entrepreneurial Perspective,13th ed",2010,Tata McGraw-Hill Education Private Limited,2,,
"W.Y.,Raymond","Small Business Management, 3rd ed",1992,"Holt,Rinehart And Winston",1,,
"Oz,Effy","Management Information Systems, 2nd ed",2000,Course Technology A Division Of Thomson Learning,1,,
"Robbins,Stephen,P.","Introduction To Management, 9th ed",2007,Pearson Education,2,,
"Turban,Efraim",Introduction To Information Technology,2004,John Wiley & Sons,1,,
"Anthony,Robert,N.",Management Control Systems,1992,Richard D. Irwin,1,,
"Brealy,Richard,A.","Fundamentals Of Corporate Finance, 3rd ed",2001,Irwin/McGraw-Hill,3,,
"Brealy,Richard,A.","Fundamentals Of Corporate Finance, 5th ed",2007,McGraw-Hill,5,,
"Brigham,Eugene,F.","Fundamentals Of Financial Management, 10th ed",2009,South Western,1,,
"Brigham,Eugene,F.","Fundamentals Of Financial Management, 12th ed",2011,Cengage Learning Asia,1,,
"Gitman,Lawrence,J.","Principles Of Management Finance,13th ed",2013,Pearson Education Limited 2013,1,,
"Kretlow, William J.",Financial Management ,2013,Cengage Learning ,1,,
"Mowen, Maryanne M.",Managerial Accounting ,2012,Cengage Learning ,1,,
"Smart, Scott B.",Financial Management: An Introduction,2011,Cengage Learning ,1,,
"Waschka, Larry",The Complete Idiot's Guide to Getting Rich,1999,Macmillan Publishing ,1,,
"Tompkins, James A.","Facilities Planning, 4th ed.",2010,John Wiley & Sons,1,,
"Aamodt, Michael G.",Human Relations in Business ,2001,Wadsworth ,4,,
"Richards, Shola","Making Work, Work",2016,Sterling Ethos,1,,
"Snell, Scott",Human Resource Management Principles ,2012,Cengage Learning ,1,,
"Travers, Alfred W.",Supervision: Techniques and New Dimensions ,1988,Prentice-Hall ,1,,
"Chopyak, Christine ",Picture your Business Strategy ,2013,McGraw-Hill ,1,,
"Bateman,Thomas,S.","Management Leading & Collaborating In A Competitive World, 7th ed.",2007,The McGraw-Hill Companies,1,,
"Mcleod,Raymond,Jr.","Management Information System,8th ed",2001,Prentice-Hall,1,,
"Mcleod,Raymond,Jr.","Management Information Systems,9th ed",2006,Pearson Education South Asia,1,,
"Ricketts, Don","Managerial Accounting, 2nd ed.",1991,Houghton Mifflin,1,,
"Bateman, Thomas S.","Management: Leading & Collaborating in a Competitive World, 7th ed.",2007,McGraw-Hill ,1,,
"Housden, Matthew",Successful Market Research in a week,1992,Hodder & Stoughton Educational,1,,
Russ Paley,Ultimate Guide to Network Marketing: Your Step-by-Step Guide to Wealth,2001,Pearson Education ,1,,
"David, Fred R.","Strategic Management: Concepts & Cases, 8th ed.",2002,Pearson Education ,3,,
"David, Fred R.","Strategic Management: Concepts and Cases, 12th ed.",2009,Pearson Education ,1,,
"David, Fred R.","Strategic Management Concepts and Cases, 14th ed.",2013,Pearson Education ,1,,
"Maxwell, John C.",The 5 Levels of Leadership ,1995,Lockman Foundation ,1,,
"O' Loughlin, Sheryl",Killing it!,2016,HarperCollins ,1,,
"Peter, J. Paul","Marketing Management: Knowledge and Skills, 8th ed.",2007,McGraw-Hill ,1,,
"Shelly, Gary B.","Systems Analysis and Design, 4th ed.",2001,Course Technology ,3,,
"Haag, Stephen ","Management Information Systems for the Information Age, 6th ed.",2007,McGraw-Hill ,1,,
"Haag, Stephen ","Information Systems Essentials, 3rd ed.",2009,McGraw-Hill ,1,,
"McLeod, Raymond ","Management Information Systems, 9th ed.",2006,Pearson Education ,1,,
"Haag, Stephen ","Management Information Systems for the Information Age, 5th ed.",2005,McGraw-Hill ,1,,
"O'Brien, James A.","Management Information Systems, 7th ed.",2006,McGraw-Hill ,1,,
"Schwalbe, Kathy","Information Technology Project Management, 4th ed.",2007,Course Technology ,1,,
"Maxwell, John C.",Developing the Leaders Around You,1995,Injoy,1,,
"Timmons, Jeffrey A.","New Venture Creation: Entrepreneurship for the 21st Century, 7th ed.",2007,McGraw-Hill ,3,,
"Chase, Richard B.","Operations Management for Competitive Advantage, 10th ed.",2005,McGraw-Hill ,4,,
"Stevenson, William J.","Operations Management, 10th ed.",2009,McGraw-Hill ,1,,
"Besterfield, Dale H.",Total Quality Management ,1995,Prentice-Hall ,1,,
"Cateora, Philip R.","International Marketing, 12th ed.",2005,McGraw-Hill ,1,,
"Czinkota, Michael R.","International Marketing, 7th ed.",2004,South-Western ,1,,
"Dalrymple, Douglas J.","Marketing Management: Strategy and Cases, 4th ed.",1986,John Wiley & Sons,1,,
"Ferrell, O. C.",Marketing ,2013,Cengage Learning ,1,,
"Foster, Timothy ",How to be better at... Customer Care,1999,Kogan Page,1,,
"McDaniel, Carl",Marketing Principles ,2012,Cengage Learning ,1,,
"Berenbaum, Diane",How to Talk to Customers ,2007,Communico,2,,
"Wilkie, William L.","Consumer Behaviour, 2nd ed.",1990,John Wiley & Sons,1,,
"Lacobucci, Dawn","Marketing Management, 2nd ed.",2012,Cengage Learning,1,,
"Kerwin, Roger A.","Marketing The Core, 2nd ed.",2007,McGraw-Hill/Irwin,1,,
"Kotler, Philip","Principles Of Marketing, 8th ed.",2000,Pearson Education,1,,
"Kurtz, David L.","Principles Of Contemporary Marketing, 15th ed.",2012,Cengage Learning,1,,
"McCarthy, Jerome E.",Basic Marketing,1986,Irwin,1,,
"Perreault, William D.","Basic Marketing A Global-Managerial Approach, 15th ed.",2005,McGraw-Hill/Irwin,3,,
"Kalakota, Ravi",E-Business Roadmap For Success,1999,Addison-Wesley,1,,
"Hyatt, Michael",Platform Get Noticed In A Noisy World,2012,Thomas Nelson,1,,
"Cockerell, Lee",The Customer Rules,2013,Crown Business ,1,,
"Degarmo, Scott",Heart To Heart,1999,Prima,1,,
"Czinkota, Michael R.","International Marketing, 2nd ed.",1990,Dryden Press,1,,
"Strauss, Judy","E-Marketing, 17th ed.",2014,Pearson Education,1,,
"Cravens, David W.","Strategic Marketing, 8th ed.",2006,McGraw-Hill ,1,,
"Heizer, Jay","Operations Management, 6th ed.",2001,Pearson Education ,2,,
"Schonberger, Richard J.",Operations Management: Serving the Customer ,1988,Business Publications ,1,,
"Johansson,Johny K.",Contemporary Brand Management ,2015,Sage Publications ,1,,
"Mathieson, Rick",The On-Demand Brand,2010,AMACOM,1,,
"Hair, Joseph F.","Essentials of Marketing Research, 3rd ed.",2013,McGraw-Hill ,1,,
"Nicolino, Patricia F.",The Complete Idiot's Guide to Brand Management ,2001,Alpha Books,1,,
"Geller, Lois K.",Direct Marketing Techniques ,1998,Crisp Publications ,1,,
"Craig, C. Samuel","International Marketing Research, 2nd ed.",1983,Prentice-Hall ,3,,
"Keegan, Warren J.","Global Marketing, 5th ed.",2008,Pearson Education ,2,,
"Keegan, Warren J.","Global Marketing, 3rd ed.",2003,Pearson Education ,1,,
"Frederick, Howard H.",Entrepreneurship,2007,Nelson Australia ,1,,
"Chapman, Elwood N.","Sales Training Basics, 3rd ed.",1992,Crisp Publications ,1,,
"Manning, Gerald L.","Selling Today: Partnering to Create Value, 12th ed.",2012,Pearson Education ,2,,
"Weitz, Barton A.",Selling Building Partnerships,2009,McGraw-Hill ,1,,
"Devitre, Doug",Screen to Screen Selling,2016,McGraw-Hill ,1,,
"Mason, J. Barry",Modern Retailing: Theory and Practice ,1987,Business Publications ,1,,
"Arens, William F.","Contemporary Advertising, 9th ed.",2005,McGraw-Hill ,3,,
"Geankoplis, Christi J.","Transport Processes and Unit Operations, 3rd ed.",1995,Simon & Schuster,1,,
"Matthews, Martin S.","Using PageMaker 4 for the PC, 3rd ed.",1991,McGraw-Hill ,1,,
"Watanabe, Naoki",Contemporary Fashion Illustration Techniques,2008,Graphic-sha Publishing ,1,,
,,,,,,
700-799,,,,,,
"Yeager, Don",Undue Process The Ncaa's In Justice For All,1991,Sagamore,1,,
"McCullough, Bob",My Greatest Day In Golf,1997,Thomas Dunne,1,,
"Galloway, Jeff",Galloway's Book On Running,1984,Shelter Publications ,1,,
"Bordwell, David","Film Art An Introduction,10th ed",2013,McGraw-Hill,1,,
"Viera, Barbara L.","Volleyball:Steps To Success,2nd ed",1996,Human Kinetics,1,,
"Wise, Mike",Just Ballin' :The Chaotic Rise Of The New York Knicks,1999,Simon & Schuster,1,,
"Bulman, George",Play The Game Volleyball,NC,Ward Lock,1,,
"Dudley, Louise",The Humanities,1978,McGraw-Hill,2,,
"Fox, Robert A.",Basketball:The Complete Handbook Of Individual Skills,1988,Prentice-Hall ,1,,
,,,,,,
800-899,,,,,,
,English,1992,McGraw-Hill ,1,,
"Bailey, Edward P.","The Practical Writer with Readings, 2nd ed.",1989,"Holt, Rinehart, and Winston ",1,,
"Gunner, Jeanne",Beyond the Conventions: Studies in Prose Writing,1990,Harper & Row,1,,
"Epstein, Ira D.",The Proficient Reader,1985,Houghton Mifflin ,2,,
"Langan, John","College Writing Skills with Readings, 5th ed.",2001,McGraw-Hill ,1,,
"Fenkelstein, Leo","Pocketbook of Technical Writing for Engineers and Scientists, 2nd ed.",2005,McGraw-Hill ,1,,
"Mills, Gordon H.","Technical Writing, 5th ed.",1986,"Holt, Rinehart and Winston ",1,,
"Kennedy, Joyce Lain",Resumes for Dummies,1996,IDG Books,1,,
"Lucas, Stephen E.","The Art of Public Speaking, 8th ed.",2004,McGraw-Hill ,1,,
"German, Kathleen","Principles of Public Speaking, 14th ed.",2003,Pearson Education ,4,,
"Beers, Kylene",Elements of Literature 5th Course,2005,"Holt, Rinehart and Winston ",1,,
"Blackorby, Athena",Elements of Literature Introductory Course,2006,"Holt, Rinehart and Winston ",1,,
"Kennedy, X. J.","Literature: An Introduction to Fiction, Poetry, and Drama, 2nd ed.",2000,Addison-Wesley ,4,,
,Readings in World Literature ,NC,"Holt, Rinehart and Winston ",1,,
"Selassie, Bereket Habte",Eritrea and the United Nations and Other Essays ,1989,Red Sea Press,1,,
,Asian American Literature ,1999,Prentice-Hall ,1,,
"Atwood, Margaret ",The New Oxford Book of Canadian Verse in English ,1983,Oxford University Press ,1,,
"Date, S. V.",Speed Week,1999,G.P. Putnam,1,,
"Greenblatt, Stephen",Will in the World,2004,W.W. Norton,1,,
,,,,,,
900-999,,,,,,
"Digangi, Mario (ed.)",Romeo and Juliet,2012,Sterling Publishing ,1,,
"McNeill, William H.","A World History, 3rd ed.",1979,Oxford University Press ,3,,
"Blay, Rosslyn",A Living History of Parramatta,1992,Soroptimist ,1,,
"Langewiesche, William",American Ground: Unbuilding the World Trade Center,2002,North Point Press,1,,
