Benedicto College ,,,,,,
Foreign References ,,,,,,
"As of March 16, 2023",,,,,,
,,,,,,
AUTHOR,TITLE,COPYRIGHT ,PUBLISHER,NO. OF COPIES,,
"Stern, Nancy","Structured COBOL Programming, 9th ed.",2000,John Wiley & Sons,3,,
"Farrell, Joyce",An Object-Oriented Approach to Programming Logic and Design ,2013,Cengage Learning ,3,,
"Farrell, Joyce ","Programming: Logic and Design Introductory, 8th ed.",2015,Cengage Learning ,2,,
"Liskin, Miriam","Visual FoxPro Expert Solutions, V.1",1995,Que Corporation ,1,,
"Liskin, Miriam","Visual FoxPro Expert Solutions, V.2",1995,Que Corporation ,2,,
"Naismith, Earl",The Student Edition of Execustat,1991,PWS-KENT Publishing ,1,,
"Anderson-Freed, Susan","Weaving A Website: Programming In HTML, JavaScript™, Pero, and Java™",2002,Pearson Education ,1,,
"Gosselin, Don",PHP Programming with MySQL,2014,Cengage Learning ,2,,
"Hayen, Roger",Lotus 1-2-3 Release 5 for Windows,1995,Course Technology ,1,,
"Wallace, Rick",Quark Xpress for Macintosh Special ed.,1994,Que Corporation ,1,,
"Glosserman, Phil",Quarterdeck Expanded Memory Manager,1992,Quarterdeck Office Systems ,1,,
"Harrison, Bill Jr.",The Lotus Guide to LotusWorks,1992,Brady Publishing ,1,,
"Bucki, Lisa A.",Microsoft Excel 97 Power Toolkit ,1997,Ventana Communications ,1,,
Microsoft Corp.,Microsoft Workgroup Add-On for Windows User's Guide,1991,Monotype Corporation ,1,,
"Penrod, Samantha ",Acumen Series Windows 3.1,1995,Boyd & Fraser,1,,
"Dyson, Peter",UNIX Complete ,1999,Sybex Inc.,3,,
"Coleman, Pat (ed.)","Perl, CGI, and JavaScript Complete, 1st ed.",2000,Sybex Inc.,1,,
"Holzner, Steven",Advanced Assembly Language ,1991,Brady Books,2,,
"Williams, Dave","The Programmer's Technical Reference: MS-DOS, IBM PC & Compatibles",1993,Tech Publications ,1,,
"Silberschatz, Abraham","Operating System Concepts, 5th ed.",1988,Addison-Wesley ,3,,
NOVELL,NetWare Peer-to-Peer Operating System ,,NOVELL,1,,
"Shelly, Gary B.",Learning to Use Windows Applications: Microsoft Access 2 for Windows ,1995,Boyd & Fraser ,3,,
"Solomon, David B.","Inside Windows NT, 2nd ed.",1998,Microsoft Press,1,,
"Malik, D.S.",Data Structures in Java,2012,Cengage Learning ,2,,
"Goodrich, Michael T.","Data Structures and Algorithms in Java, 2nd ed.",2001,John Wiley & Sons,3,,
"Rolland, F.D.",SQL: Step-by-Step,1996,ITCP,3,,
"Coronel, Carlos",Data Base Principles,2012,Cengage Learning ,1,,
"Garcia-Molina, Hector","Data Base Systems: The Complete Book, 2nd ed.",2011,Pearson Education ,1,,
"Hoffer, Jeffrey A.","Modern Database Management, 11th ed.",2014,Pearson Education ,2,,
"Silberschatz, Abraham ","Database System Concepts, 5th ed.",2006,McGraw-Hill ,1,,
"Folk, Michael J.",File Structures: An Object-Oriented Approach with C++,1999,Addison-Wesley Publishing ,3,,
"Connolly, Thomas ","Database Systems, 2nd ed.",1999,Addison-Wesley Publishing ,3,,
"Connolly, Thomas ","Database Systems, 3rd ed.",2003,Pearson Education ,1,,
"Elmasri, Ramez ","Fundamentals of Database Systems, 5th ed.",2007,Pearson Education ,1,,
"Hamit, Francis ","Virtual Reality and the Exploration of Cyberspace, 1st ed.",1993,Sams Publishing ,1,,
"Luger, George F.","Artificial Intelligence: Structures and Strategies for Complex Problem Solving, 4th ed. ",2003,Pearson Education ,1,,
"Shuman, Jim",Multimedia Concepts-Enhanced Edition ,2012,Cengage Learning ,2,,
"Weadock, Emily S.",Flash 5 for Dummies Quick Reference ,2001,IDG Books,1,,
"Coorough, Calleen",Multimedia for the Web Revealed: Creating Digital Excitement ,2008,Thomson Course ,1,,
"Vodnik, Sasha ",HTML 5 and CSS3 Introductory ,2014,Cengage Learning ,2,,
Smithsonian Institution ,The Smithsonian Experience ,1977,Smithsonian Institution ,1,,
"Vishwendra, Anant C.",Crime Journalism,2012,Random Publications ,1,,
"Vishwendra, Anant C.",Multimedia Journalism ,2012,Random Publications ,1,,
"Saxena, Pawan K.",Arts of News Editing ,2012,Random Publications ,1,,
"Sharma, Ajay K.",Tools and Techniques of Journalism,2012,Random Publications ,2,,
"Stephens, Mitchell ","Broadcast News, 2nd ed",1986,CBS College ,2,,
,,,,,,
100-199,,,,,,
"Atkinson, Rita L.","Introduction to Psychology, 13th ed.",2000,"Harcourt, Inc.",3,,
"Huffman, Karen","Psychology in Action, 2nd ed.",1991,"John Wiley & Sons, Inc.",1,,
"Smith, Edward E.","Introduction to Psychology, 14th ed.",2003,Wadsworth ,3,,
"Morgan, Clifford T.","Introduction to Psychology, 7th ed.",1986,McGraw-Hill ,1,,
"Myers, David G.","Psychology, 1st ed.",1987,Worth Publishers,1,,
"Rathus, Spencer A.","Psychology, 2nd ed.",2012,Cengage Learning ,1,,
"Santrock, John W.","Life-Span Development, 12th ed.",2009,McGraw-Hill ,1,,
"Hall, Calvin S.","Theories of Personality, 4th ed.",1998,John Wiley & Sons,2,,
"Cohen, Ronald Jay","Exercises in Psychological Testing and Assessment, 7th ed.",2010,McGraw-Hill ,1,,
"Bransford, John D.",The Ideal Problem Solver,1984,W.H. Freeman,1,,
"Covey, Stephen R.",The Seven Habits of Highly Effective People,1990,Fireside,1,,
"Robbins, Alexandra",Quarterlife Crisis,2001,Tarcher/Putnam,1,,
"Weaver, Richard L. ","Understanding Interpersonal Communication, 5th ed.",1990,"Scott, Foresman and Company",1,,
"Bachhuber, Andrew H.",Introduction to Logic,1966,Meredith Publishing ,2,,
"Reynolds, George","Principles of Ethics in Information Technology, 4th ed.",2013,Cengage Learning ,2,,
"Shannon, Thomas A. (ed.)","Bioethics, 3rd ed.",1987,Paulist Press,1,,
"Burkhardt, Margaret A.","Ethics & Issues in Contemporary Nursing, 2nd ed.",2002,Delmar,2,,
"Hartman, Laura P.","Perspectives in Business Ethics, 3rd ed.",2005,McGraw-Hill ,1,,
"Velasquez, Manuel G.","Business Ethics: Concepts and Cases, 7th ed.",2012,Pearson Education ,2,,
"Duquenoy, Penny","Ethical, Legal and Professional Issues in Computing",2008,Cengage Learning ,1,,
"Martin, Mike W.","Ethics in Engineering, 4th ed.",2005,McGraw-Hill ,1,,
"Brinkman, William John ",Computer Ethics ,2012,Cengage Learning ,2,,
