"Barrot, Jessie S. ",Academic Reading & Writing,2016,C & E Publishing ,5,
"Tiongson, Marella Therese A.",Reading and Writing Skills,2016,Rex Book Store,1,
"Ibona, Leah Marie R.","Headway: Read, Think, and Write",NC ,USC Press,1,
"Caubic, Rosalina A.",Reading and Writing,NC ,Gintong Aral Publishing ,1,
"Majul, Mary Ann M.",en[g] counters: Reading and Writing in the Contemporary World,2016,St. Bernadette Publishing ,1,
"Hernandez, Philippe Jose S.","Ready to Write: A Reading and Writing Textbook, 1st ed.",2017,Sibs Publishing ,1,
"Estacio, Ma. Joahna M.",Developing Reading & Writing Skills,2016,Phoenix Publishing ,1,
"Cidro, Mark Gleen O.",Integrated English for Effective Communication: Reading and Writing Skills,2016,Phoenix Publishing ,1,
"Dayagbil, Filomena T.",Critical Reading and Writing,2016,Lorimar Publishing ,1,
,,,,,
"Dela Cruz, Renato T.","Wired! : Trends, Networks, and Critical Thinking Skills in the 21st Century",2017,Phoenix Publishing ,2,
"Dela Cruz, Arleigh Ross D.","The Padayon Series: Trends, Networks, and Critical Thinking Skills in the 21st Century",2017,Phoenix Publishing ,2,
"Ariola, Mariano M.","Trends, Networks, and Critical Thinking Skills in the 21st Century",2017,Library Services & Publishing ,1,
"Martin, Maria Gabriela P.","Beyond Borders: Reading Literature in the 21st Century, 1st ed.",2016,Phoenix Publishing ,2,
"Latras, Fely B.",Literary Encounters,2016,USC Press,1,
"Urquiola, Luciana L.",Voices: 21st Century Literature from the Philippine and the World,2016,Abiva Publishing ,1,
"Solmerano, Ernesto Thaddeus M.",21st Century Literature from the Philippine and the World,2017,Fastbooks Educ. Supply,1,
"Uychoco, Marikit Tara A.","21st Century Literature from the Philippine and the World, 1st ed.",2016,Rex Book Store,2,
"Caballero, Marjorie A. ",Crossing Horizons Through 21st Century Literature,2016,St. Augustine Publishing ,1,
"Lopez, Ferdinand M.",TextScapes: 21st Cemtury Literature Landscapes of the Philippines and of the World,2017,Innovative Educ. Materials,3,
,,,,,
"Valdez, Paolo Nino M.",English for Globalized Classroom Series: English for Academic & Professional Purposes,2016,Phoenix Publ.,2,
"Miciano, Mishima Z.",Enhanced English Engagement: English for Academic & Professional Purposes,2015,Don Bosco Press,1,
"Barrot, Jessie Saraza",Communicate Today: English for Academic & Professional Purposes,2016,C & E Publishing ,11,
"Barrot, Jessie Saraza",Communicate Today: English for Academic & Professional Purposes (Revised ed),2020,C & E Publishing ,1,
"Barrot, Jessie Saraza",Enhanced Teacher's Manual: English for Academic & Professional Purposes,2016,C & E Publishing ,1,
,,,,,
"Cristobal, Amadeo Pangilinan",Practical Research 1,2017,C & E Publishing ,3,
"Chico, Alegria M.",Practical Research for the 21st Century Learners (Quantitative Research),2016,St. Augustine Publishing ,1,
"Matira, Myrna D.",Practical Research for the 21st Century Learners (Quanlitative Research),2016,St. Augustine Publishing ,2,
"Baraceros, Esther L.","Practical Research 2, 1st ed.",2016,Rex Book Store,1,
"Torneo, Ador R.",An Introduction to Quantitative Research: Practical Research 2,2017,Sibs Publishing ,1,
"Clamor-Torneo, Hiyas S.",An Introduction to Quanlitative Research: Practical Research 1,2017,Sibs Publishing ,1,
"Melegrito, Ma. Lourdes F.",Applied Research: An Introduction to Qualitative Research Methods and Report Writing,2016,Phoenix Publishing ,1,
"Clemente, Richard F.",Research in Daily Life 1,2016,Sibs Publishing ,2,
,,,,,
"Gialogo, Ryan C. ",Fit For Life: The K to 12 Physical Education and Health Textbook,2016,Phoenix Publishing ,1,
"Porto, Jerome A.",Fitness for Life: Health-Optimizing Physical Eudcation,2016,C & E Publishing ,2,
"Dy, Diana",Sports for Life: Health-Optimizing Physical Eudcation,2016,C & E Publishing ,2,
,,,,,
"Riodique, Francisco C.",UCSP: Exploring the Dynamics of Human Diversity and Adaptation,2016,Mindshapers,1,
"Atienza, Maria Ela","Culture Society, and Politics (Revised ed)",2019,C & E Publ.,1,
"Aguilar, Maria Virginia G.","Culture Society, and Politics: An Introductory text",2016,Phoenix Publishing ,2,
"Contreras, Antonio P.","Understanding Culture, Society, and Politics",2016,Phoenix Publishing ,1,
"Amper, Zona Hildegarde",Knowing our Social World: A Comprehensive Worktext in UCSP,2016,USC Press,1,
,,,,,
"Solmerano, Ernesto Thaddeus M.",Contemporary Arts from the Regions,2017,Fastbooks Educ. Supply,1,
"Ganzon, Carlo Luis C.",Journey: Contemporary Arts of the Philippines,2017,Phoenix Publishing ,4,
"Palencia, Marjueve M.","Contemporary Arts from the Regions, 2nd ed.",2017,Fastbooks Educ. Supply,1,
"Siazon-Lorenzo, Carmelita",Literatura ng Iba't Ibang Rehiyon ng Pilipinas (Revised ed),2015,Grandbooks Publishing ,1,
"Lico, Gerard",Sining Rehiyon: Contemporary Philippine Arts in the Religions,2018,C & E Publishing ,1,
                                                               Philosophy,,,,,
"Sy, Dennis ian B.",Philosophy of the Human Person: An Introduction,2018,Abiva Publishing ,1,
"Camiloza, Loreto G.",Philosophy of the Human Person: An Introductory Text,2016,Phoenix Publishing ,3,
"Abella, Roberto D.",Introduction to the Philosophy of the Human Person,2016,C & E Publishing ,6,
"Abella, Roberto D.",Introduction to the Philosophy of the Human Person: Enhanced Teacher's Manual,2016,C & E Publishing ,1,
"Calano, Mark Joseph T.",Philosophizing and Being Human,2016,Sibs Publishing ,2,
"Aguas, Jove Jim S.",Philosophy: Toward an Understanding and Appreciation of the Human Person,2017,Abiva Publishing ,1,
"Mabaquiao, Napoleon B.",Making a Life Worth Living: An Introduction to the Philosphy of the Human Person,2016,Phoenix Publishing ,2,
"Magadan, Ismael P.",Thinking Human: A Comprehensive Worktext in Introduction to the Philosophy of the Human Person,2016,USC Press,1,
,,,,,
"Manaloto, Christian B.",Pilgrimage to Sacred Spaces: An Introduction to World Religions,2016,Phoenix Publishing ,2,
"Mabaquiao, Napoleon B.",Introduction to World Religions and Belief Systems,2017,Phoenix Publishing ,2,
"Cornelio, Jayeel Serrano","Introduction to World Religions and Belief Systems, 1st ed.",2016,Rex Bok Store,1,
                                     Disaster Readiness and Risk Reduction,,,,,
"Bongalonta, Ranold P.",Disaster Preparedness 101,2019,Abiva Publishing ,1,
"Garlitos, Raymund",Disaster Readiness and Risk Reduction,2018,Innovative Educ. Materials,2,
"Estrada, Desire G.",Disasters: What You Should Know and What You Should Do,2016,St. Augustine Publishing ,1,
"Parena, Juliano S.",Disaster Readiness and Risk Reduction: Exploring Life Through Science Series,2016,Phoenix Publishing ,1,
"Luna, Emmanuel M.","Disaster Readiness and Risk Reduction: Protecting Lives, Saving Communities",2016,C & E Publishing ,1,
"Lanada, Maria Isabel B.",Disaster Readiness and Risk Reduction: Building Resilient Communities,2016,Phoenix Publishing ,1,
"Quebral, Villamor S.",Disaster Readiness and Risk Reduction,2016,Lorimar Publishing ,1,
"Rimando, Rolly E.","Disaster Readiness and Risk Reduction, 1st ed.",2016,Rex Book Store,1,
"Aurelio, Mario A.",Disaster Readiness and Risk Reduction,2016,CHED,1,
,,,,,
"Licauco, Jaime T.",Dwarves and other Nature Spirits: Their Importance to Man,2005,Rex Book Store,1,
"Jones, Sonia","Assessment, 2nd ed.",2006,Continuum Intl. Publishing ,1,
"Holt, Rinehart",Readings in World Literature,NC,"Holt, Rinehart and Winston",6,
,Asian American Literature,1999,Prentice-Hall,4,
"Carroll, Joyce Armstrong",Writing and Grammar: Communication in Action,2001,Prentice-Hall,2,
"Carlin, Diana Prentice","Public Speaking Today, 2nd ed.",1995,National Textbook Company,2,
"Probst, Robert E.",Elements of Literature (1st course),2000,"Holt, Rinehart and Winston",2,
"                                             Accountancy, Business, and Management",,,,,
"Salazar, Dani Rose C.","Fundamentals of Accountancy, Business, and Management 2, 1st ed.",2017,Rex Book Store,1,
"Palencia, Feme M.","Fundamentals of Accountancy, Business, and Management 2",2017,Fastbooks Educ. Supply,1,
"Ong, Flocer Lao","Fundamentals of Accountancy, Business, and Management 2",2017,C & E Publishing ,1,
"Ong, Flocer Lao","Fundamentals of Accountancy, Business, and Management 1",2016,C & E Publishing ,2,
"Florendo, Joselito G.","Fundamentals of Accountancy, Business, and Management 1",2016,CHED,1,
"Florendo, Joselito G.","Fundamentals of Accountancy, Business, and Management 2",2016,CHED,2,
,"Fundamentals of Accountancy, Business, and Management 2 ",2017,Abiva Publishing ,1,
                                                           Pre-Calculus,,,,,
"Cuenco, Anthony",Pre-Calculus,2016,C & E Publishing ,1,
"Orines, Fernando B.",Next Century Mathematics Precalculus,2016,Phoenix Publishing ,3,
"Vilale, Jason E.",PreCalculus,2018,Innovative Educ. Materials,1,
"Chua, Simon L.",PreCalculus: Soaring 21st Century Mathematics,2016,Phoenix Publishing ,3,
"Urgel, Edwin",Pre-Calculus: Analytical Approach,2017,USC Press,1,
"Garces, Ian June L.",PreCalculus,2016,CHED,3,
"Melosantos, Luis Allan B.",Math Connections in the Digital Age: Precalculus,2016,Sibs Publishing ,2,
"Lim, Yvette",Precalculus: Math for Engaged Learning,2016,Sibs Publishing ,2,
"Pelias, John Gabriel P.","Pre-Calculus, 1st ed.",2016,Rex Book Store,1,
"Garces, Ian June L.",PRECALCULUS,2016,CHED,1,
                                                          General Mathematics,,,,,
"Orines, Fernando B.",Next Century Mathematics General Mathematics,2016,Phoenix Publishing ,3,
"Mercado, Jesus P.",Next Century Mathematics Statistics & Probability,2016,Phoenix Publishing ,1,
"Morales, Roderick Z.",General Mathematics Made Simple`,2019,Mindshapers,1,
"Regacho, Corazon F.",Mathematics Skills for Life,2017,Abiva Publishing ,1,
"Flores, Maricar","Worktext in General Mathematics: Activity-based, Scaffolding of Student Learning Approach",2016,C & E Publishing ,1,
"Robes, Criselle E.",Learning General Mathematics,2016,St. Augustine Publishing ,1,
"Lim, Yvette",General Mathematics: Math for Engaged Learning,2016,Sibs Publishing ,1,
"Chua, Renard Eric",General Mathematics: Soaring 21st Century Mathematics,2016,Phoenix Publishing ,3,
"Oronce, Orlando, A.","General Mathematics, 1st ed.",2016,Rex Book Store,1,
"Verzosa, Debbie Marie B.",General Mathematics: Teaching Guide,2016,CHED,2,
"Zorilla, Roland S.",General Mathematics,2016,Jo-es Publishing ,1,
"Melosantos, Luis Allan B.",Math Connections in the Digital Age: General Mathematics,2016,Sibs Publishing ,2,
"Piramide, Jennefer M.","Functions, Investment & Logic: Keys to the Real World",2017,USC Press,1,
,,,,,
"Marquez, Servillano T.",Pagbasa at Pagsusuri ng Iba't Ibang Teksto tungo sa Pananaliksik,2016,Sibs Publishing ,1,
"Atanacio, Heidi C.",Pagbasa at Pagsulat tungo sa Pananaliksik,2009,C & E Publishing ,1,
"Evasco, Eugene Y. ",Pagbasa at Pagsulat sa Piling Larangan (Akademik),2017,C & E Publishing ,9,
"Ampil, Roberto D.",Komunikasyon at Pananaliksik sa Wika at Kulturang Pilipino,2017,Abiva Publishing ,1,
"Nuncio, Rhoderik V.",Pagbasa at Pagsusuri Tungo sa Pananaliksik,2017,C & E Publication ,5,
"Villaruel, Rosie R.",Malikhaing Pagsulat,2016,Sibs Publishing ,2,
"Constantino, Pamela C.",Filipino sa Piling Larangan (Akademik),2016,Rex Book Store,1,
"Dayag, Alma M.",Pinagyamang Pluma: Komunikasyon at Pananaliksik sa Wika at Kulturang Pilipino,2016,Phoenix Publishing ,2,
"Marquez, Servillano T.",Komunikasyon at Pananaliksik sa Wika at Kulturang Pilipino,2016,Sibs Publishing ,2,
"Garcia, Florante C.",Filipino sa Piling Larangan (Akademik),2016,Sibs Publishing ,2,
"Nuncio, Rhoderik V.",Komunikasyon at Pananaliksik sa Wika at Kulturang Pilipino,2016,C & E Publication ,7,
"Lucero, Cornelia Perez",Komunikasyon at Pananaliksik sa Wika at Kulturang Pilipino,NC,Gintong Aral Publishing ,1,
,,,,,
"Punzalan, Jervee M.",Science in Today's World: Physical Science,2016,Sibs Publishing ,1,
"Caintic, Helen E.",Physical Science,2016,C & E Publication ,7,
"Caintic, Helen E.",Physical Science: Enhanced Teacher's Manual,2016,C & E Publication ,2,
"Camacho, Drexel H.",Fundamentals of Physical Science,2018,Abiva Publishing ,1,
,,,,,
"Soco-Roda, Maria Andrea",Social Sciences in a Globalizing World: Interdisciplinary Perspectives for Filipino Students,2017,Sibs Publishing ,1,
"Tatel, Carlo Peña","Disciplines and Ideas in the Social Sciences, 1st ed.",2016,Rex Book Store,2,
